poll,variable,rule,rows_affected_basis,evidence
National Issues Convention,mode,Upstream corrected mode = 0,466 upstream values; analysis mode unchanged,dp-data NIC-03; applied upstream
National Issues Convention,ppage,Upstream age = 96 - two-digit BYEAR,458 ages; valid analysis ages 451 to 454,dp-data NIC-03; applied upstream
All polls,ppage,age < 16 or > 100 -> NA,Zeguo age 1; Europolis 109; NIC ages 0 to 2,Deliberative Polls sample adults
BTP 2004 Presidential Primaries,all,exact duplicate rows dropped,217 of 434 rows,Exact duplicates in the public release
"Marousi, Greece",t2know,0 -> NA when T1 > 0,26 of 146 rows,"27 T2 scores of 0 against 2 at T1, implausible for a knowledge scale after deliberation"
"Marousi, Greece",educ3,educ4 code 7 -> NA,20 rows,Code outside the four education categories
All polls,"t1know, t2know",rounded to 10 decimals,2 NIC rows,Stored as 1.0000000002
UK Crime,Post attitude,Post children replaces baseline police item,141 changed; 1 missing; learning inputs unchanged,dp-data UKC-01; approved correction
UK General Election,Post knowledge,Post Labour wage item uses post response,54 scores; mean 0.648 to 0.647515,dp-data UKGE-03; joint-correct derivatives also rebuilt
Eight baseline batteries,Item links,Upstream respondent IDs replace row order,"2,175 peer scores unchanged; San Mateo order resolved",Canonical items match all eight deposited baseline matrices
